date,block,barnacles,limpets,plot,Bgrec,Cdrec,#Lot,#Lot+added,#Lit,rawU,rawP,raws,rawperen,%U,%P,%s,%ephem,%peren,logBg,logCd,LogLit,t%ephem,t%peren,rawLdigchange,%Ldigchange,rawblockchange,%blockchange,cumulativeBgrec,cumulativeCdrec,log(cBg+1),log(cCd+1),note
11-Aug-06,A,no,out,25,0,0,,,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
11-Aug-06,B,no,out,26,4,19,,,1,,,,,15,0,0,15,0,0.698970004,1.301029996,0.301029996,0.397699415,0,,,,,,,,,
11-Aug-06,C,no,out,27,1,3,,,1,,,,,40,0,0,40,0,0.301029996,0.602059991,0.301029996,0.684719203,0,,,,,,,,,
11-Aug-06,D,no,out,28,3,4,,,0,,,,,1,0,0,1,0,0.602059991,0.698970004,0,0.100167421,0,,,,,,,,,
11-Aug-06,E,no,out,29,0,0,,,2,,,,,0,0,0,0,0,0,0,0.477121255,0,0,,,,,,,,,
11-Aug-06,F,no,out,30,2,50,,,0,,,,,0,0,0,0,0,0.477121255,1.707570176,0,0,0,,,,,,,,,
11-Aug-06,A,no,con,31,1,0,2,2,2,,,,,0,0,0,0,0,0.301029996,0,0.477121255,0,0,2,#DIV/0!,,,,,,,
11-Aug-06,B,no,con,32,4,29,10,10,2,,,,,0,0,0,0,0,0.698970004,1.477121255,0.477121255,0,0,8,4,,,,,,,
11-Aug-06,C,no,con,33,1,4,5,5,0,,,,,0,0,0,0,0,0.301029996,0.698970004,0,0,0,4,4,,,,,,,
11-Aug-06,D,no,con,34,5,0,2,2,1,,,,,0,0,0,0,0,0.77815125,0,0.301029996,0,0,2,#DIV/0!,,,,,,,
11-Aug-06,E,no,con,35,1,0,0,0,0,,,,,0,0,0,0,0,0.301029996,0,0,0,0,-1,-1,,,,,,,
11-Aug-06,F,no,con,36,5,25,1,1,1,,,,,0,0,0,0,0,0.77815125,1.414973348,0.301029996,0,0,-8,-0.888888889,,,,,,,
08-Sep-06,A,yes,in,1,2,0,1,3,28,,,,,0,0,0,0,0.5,0.477121255,0,1.462397998,0,0.070769737,-1,-0.5,-1,-0.111111111,,,,,
08-Sep-06,B,yes,in,2,3,4,9,9,3,,,,,0,0,0,0,1,0.602059991,0.698970004,0.602059991,0,0.100167421,0,0,2,0.071428571,,,,,
08-Sep-06,C,yes,in,3,4,5,6,6,44,,,,,0,0,0,0,7,0.698970004,0.77815125,1.653212514,0,0.267763327,-1,-0.142857143,-3,-0.125,,,,,
08-Sep-06,D,yes,in,4,1,0,5,5,27,,,,,0,0,0,0,1,0.301029996,0,1.447158031,0,0.100167421,0,0,-7,-0.388888889,,,,,
08-Sep-06,E,yes,in,5,5,0,2,2,14,,,,,0,0,0,0,3,0.77815125,0,1.176091259,0,0.174083011,0,0,2,0.5,,,,,
08-Sep-06,F,yes,in,6,3,17,2,2,4,,,,,0.5,0,0,0.5,0.5,0.602059991,1.255272505,0.698970004,0.070769737,0.070769737,-1,-0.333333333,-3,-0.375,,,,,
08-Sep-06,A,yes,out,7,1,1,,,17,,,,,0,0,0,0,0.5,0.301029996,0.301029996,1.255272505,0,0.070769737,,,,,,,,,
08-Sep-06,B,yes,out,8,0,3,,,6,,,,,55,0,0,55,12,0,0.602059991,0.84509804,0.835481874,0.353741606,,,,,,,,,
08-Sep-06,C,yes,out,9,1,4,,,13,,,,,20,0,0,20,2.5,0.301029996,0.698970004,1.146128036,0.463647609,0.158780215,,,,,,,,,
