date,sp,barnacles,size_mm
2007-10-27,lsc,yes,2.814
2007-10-27,lsc,yes,3.457
2007-10-27,lsc,yes,3.723
2007-10-27,lsc,yes,2.939
2007-10-27,lsc,yes,3.338
2007-10-27,lsc,yes,4.152
2007-10-27,lsc,yes,4.673
2007-10-27,lsc,yes,3.731
2007-10-27,lsc,yes,2.604
2007-10-27,lsc,yes,4.818
2007-10-27,lsc,yes,2.645
2007-10-27,lsc,yes,4.333
2007-10-27,lsc,yes,3.735
2007-10-27,lsc,yes,2.864
2007-10-27,lsc,yes,3.421
2007-10-27,lsc,yes,3.142
2007-10-27,lsc,yes,4.375
2007-10-27,lsc,yes,2.672
2007-10-27,lsc,yes,3.053
2007-10-27,lsc,yes,3.568
2007-10-27,lsc,yes,3.899
2007-10-27,lsc,yes,5.362
2007-10-27,lsc,yes,5.804
2007-10-27,lsc,yes,2.67
2007-10-27,lsc,yes,2.111
2007-10-27,lsc,yes,1.481
2007-10-27,lsc,yes,2.962
2007-10-27,lsc,yes,2.461
2006-04-26,siphonaria,yes,12.68
2006-04-26,siphonaria,yes,9.12
2006-04-26,siphonaria,yes,9.73
2006-04-26,siphonaria,yes,9.61
2006-04-26,siphonaria,yes,7.62
2006-04-26,siphonaria,yes,9.8
2006-04-26,siphonaria,yes,10.16
2006-04-26,siphonaria,no,11.77
2006-04-26,siphonaria,no,10.48
2006-04-26,siphonaria,no,9.55
2006-04-26,siphonaria,yes,11.59
2006-04-26,siphonaria,yes,8.39
2006-04-26,siphonaria,yes,7.87
2006-04-26,siphonaria,yes,5.75
2006-04-26,siphonaria,yes,4.15
2006-04-26,siphonaria,yes,9.7
2006-04-26,siphonaria,yes,10.13
2006-04-26,siphonaria,yes,8.76
2006-04-26,siphonaria,yes,9.59
2006-04-26,siphonaria,yes,5.16
2006-04-26,siphonaria,yes,8.8
2006-04-26,siphonaria,yes,12.17
2006-04-26,siphonaria,yes,6.88
2006-04-26,siphonaria,yes,8.5
2006-04-26,siphonaria,no,15.845
2006-04-26,siphonaria,no,12.193
2006-04-26,siphonaria,no,9.374
2006-04-26,siphonaria,yes,13.828
2006-04-26,siphonaria,yes,14.221
2006-04-26,siphonaria,yes,14.172
2006-04-26,siphonaria,yes,13.203
2006-04-26,siphonaria,yes,16.078
2006-04-26,siphonaria,yes,16.128
2006-04-26,siphonaria,yes,12.815
2006-04-26,siphonaria,yes,8.74
2006-04-26,siphonaria,no,12.594
2006-04-26,siphonaria,no,11.197
2006-04-26,siphonaria,no,9.121
2006-04-26,siphonaria,no,13.505
2006-04-26,siphonaria,no,12.479
2006-04-26,siphonaria,no,9.939
2006-04-26,siphonaria,yes,11.286
2006-04-26,siphonaria,yes,8.495
2006-04-26,siphonaria,yes,11.747
2006-04-26,siphonaria,yes,12.145
2006-04-26,siphonaria,yes,6.879
2006-04-26,siphonaria,yes,7.83
2006-04-26,siphonaria,yes,8.942
2006-04-26,siphonaria,yes,5.423
2006-04-26,siphonaria,yes,5.951
